               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095874,            0.060861,             0.02533,           0.0010055,             0.11382,          0.00061812,          0.00012556,            0.083981,             0.04415,            0.023501,             0.00061,             0.00061,             0.09451
                   1,            0.089503,             0.06374,             0.02216,          0.00097809,             0.11072,          0.00061457,          0.00012738,            0.083353,            0.044174,             0.02232,           0.0012297,           0.0012297,             0.08893
                   2,            0.087086,            0.064255,            0.021632,          0.00081773,             0.09256,          0.00054994,          0.00012089,            0.082924,            0.044541,             0.02186,           0.0018484,           0.0018484,            0.083348
                   3,            0.085681,            0.064283,            0.021489,           0.0015406,            0.051373,          0.00088615,          0.00019763,            0.082261,            0.045027,            0.021549,           0.0024651,           0.0024651,            0.077765
                   4,             0.08313,            0.065763,            0.020721,             0.54229,            0.039858,           0.0076204,           0.0016154,            0.085647,            0.043584,            0.021419,            0.003079,            0.003079,            0.072179
                   5,            0.080244,            0.065071,            0.020823,             0.60445,              0.1116,            0.063978,            0.016471,            0.075961,            0.040603,            0.021282,           0.0036894,           0.0036894,            0.066589
                   6,            0.075539,            0.056793,            0.019918,             0.16045,             0.13508,             0.10752,             0.02813,            0.075379,            0.041051,            0.020935,           0.0042955,           0.0042955,            0.060995
                   7,            0.071161,            0.050762,            0.018143,             0.28228,              0.3706,             0.26552,            0.076667,            0.064192,            0.036573,            0.014331,           0.0048964,           0.0048964,            0.055396
                   8,            0.073684,            0.049167,            0.013903,             0.29243,             0.16956,            0.078716,            0.017618,            0.077416,            0.035948,            0.019489,           0.0054913,           0.0054913,            0.049791
                   9,             0.07003,            0.048047,            0.010888,             0.34881,             0.45627,             0.30203,            0.074653,            0.064181,            0.030863,           0.0065536,           0.0060794,           0.0060794,            0.044179
                  10,            0.067159,             0.04612,           0.0098543,             0.52093,             0.49135,             0.45366,             0.13242,            0.059481,            0.031778,           0.0065154,             0.00666,             0.00666,             0.03856
                  11,            0.063613,            0.046325,           0.0085264,             0.41445,             0.38676,             0.30325,            0.070076,            0.064141,              0.0344,           0.0050022,           0.0072323,           0.0072323,            0.032932
                  12,            0.062089,            0.044281,           0.0077505,             0.73383,             0.59921,             0.64535,             0.21305,            0.056164,            0.028868,           0.0043776,           0.0077956,           0.0077956,            0.027296
                  13,            0.060105,            0.044579,           0.0075016,             0.71807,             0.61648,             0.66574,             0.23968,            0.051568,            0.027831,           0.0050359,           0.0083491,           0.0083491,            0.021649
                  14,             0.05772,            0.042319,           0.0069708,             0.73871,             0.60061,             0.65141,             0.21688,            0.053525,             0.02738,           0.0050907,           0.0088921,           0.0088921,            0.015992
